Product Name,Category,Price,Number of Reviews,Average Rating,Product Rank,Product URL,Date
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey- Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.,Amazon Launchpad,₹269.00,"76,418",4.3 out of 5 stars,#1,amazon.in/SOFTSPUN-Microfiber-Cleaning-Detailing-Polishing/dp/B077BFH786/ref=zg_bs_g_boost_sccl_1/262-2213891-8185549?psc=1,2023-09-07
"Desidiya ® 20 Photo Clip LED String Lights for Photo Hanging, Birthday, Festival, Wedding, Party for Home, Patio, Lawn, Restaurants Home Decoration (Warm White)",Amazon Launchpad,₹199.00,"21,211",4.1 out of 5 stars,#2,amazon.in/DesiDiya-Birthday-Festival-Restaurants-Decoration/dp/B097RPK7BV/ref=zg_bs_g_boost_sccl_2/262-2213891-8185549?psc=1,2023-09-07
"Fixderma Shadow Sunscreen SPF 30+ Gel Sunscreen For Oily Skin, Sun Screen Protector SPF 30 For Body & Face, Broad Spectrum For UVA & UVB Protection Non Greasy & Water Resistant For Unisex, 40g",Amazon Launchpad,₹186.00,"4,755",4.3 out of 5 stars,#3,amazon.in/Fixderma-Shadow-SPF-Gel-40gm/dp/B089RJ6Z3K/ref=zg_bs_g_boost_sccl_3/262-2213891-8185549?psc=1,2023-09-07
"Be Bodywise Biotin Hair Gummies for Stronger, Shinier Hair & Nails | 60 Day Pack | With High Potency Biotin, Zinc, Folic Acid & Multivitamins | Strawberry Flavored | No Added Sugar | 60 Gummies",Amazon Launchpad,₹908.00,"6,955",4.0 out of 5 stars,#4,amazon.in/Be-Bodywise-Supplements-Strawberry-Multivitamins/dp/B092ZXX7XP/ref=zg_bs_g_boost_sccl_4/262-2213891-8185549?psc=1,2023-09-07
"SOFTSPUN Microfiber Cleaning Cloths, 4pcs 40x40cms 340GSM Multi-Colour! Highly Absorbent Lint and Streak Free Multi -Purpose Wash Cloth for Kitchen Car Window Stainless Steel Silverware.",Amazon Launchpad,₹247.00,"22,498",4.3 out of 5 stars,#5,amazon.in/SOFTSPUN-Microfiber-Cleaning-Cloth-340GSM/dp/B07GBZ1KV8/ref=zg_bs_g_boost_sccl_5/262-2213891-8185549?psc=1,2023-09-07
"Sirona Reusable Menstrual Cup for Women | Medium Size with Pouch | Ultra Soft, Odour & Rash Free|100% Medical Grade Silicone|No Leakage|Protection for Up to 8-10 Hours | US FDA Registered,Pack of 1",Amazon Launchpad,₹258.00,"25,593",4.3 out of 5 stars,#6,amazon.in/Sirona-Approved-Reusable-Menstrual-Silicone/dp/B07548J9WC/ref=zg_bs_g_boost_sccl_6/262-2213891-8185549?psc=1,2023-09-07
INDIGENOUS HONEY Raw Organic Honey NMR Tested NPOP Organic Certified Pure Natural Unprocessed Original Honey - 530 g Glass Jar (Pack of 1),Amazon Launchpad,₹521.00,"14,211",4.3 out of 5 stars,#7,amazon.in/Indigenous-Unprocessed-Unfiltered-Unpasteurized-Disorders/dp/B07H5PVCH7/ref=zg_bs_g_boost_sccl_7/262-2213891-8185549?psc=1,2023-09-07
"ALPINO Natural Peanut Butter Crunch 400g - 100% Roasted Peanuts - 30g Protein, No Added Sugar & Salt, non-GMO, Gluten Free, Vegan – Plant Based, Unsweetened Peanut Butter Crunchy",Amazon Launchpad,₹149.00,"26,043",4.2 out of 5 stars,#8,amazon.in/Alpino-Natural-Peanut-Unsweetened-Non-GMO/dp/B07V492XQN/ref=zg_bs_g_boost_sccl_8/262-2213891-8185549?psc=1,2023-09-07
"Frido Dual Gel Heavy Duty Trimmable Insoles, For Loose Shoes or Replacing Existing Insoles, Thick Shoe Inserts, Extra Comfort and Support, Proudly Made in India, (Size 9-13 UK) - Pack of 1 Pair",Amazon Launchpad,₹799.00,"3,410",3.8 out of 5 stars,#9,amazon.in/Frido-Trimmable-Insoles-Replacing-Existing/dp/B09RV5JVMM/ref=zg_bs_g_boost_sccl_9/262-2213891-8185549?psc=1,2023-09-07
"Man Matters Biotin Hair Gummies | 60 Days Pack | With Biotin, Vitamin A, C, E, Zinc & DHT Blocker | Added Sugar | Keeps Hair Healthy & Strong | Strawberry Flavored |100% Vegetarian | 60 Gummies",Amazon Launchpad,₹799.00,"4,169",3.8 out of 5 stars,#10,amazon.in/Man-Matters-Strawberry-Flavoured-Vegetarian/dp/B098F3HYJR/ref=zg_bs_g_boost_sccl_10/262-2213891-8185549?psc=1,2023-09-07
