Product Name,Category,Price,Number of Reviews,Average Rating,Product Rank
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey- Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.,Amazon Launchpad,269.0,76418.0,4.3,1
"Desidiya ® 20 Photo Clip LED String Lights for Photo Hanging, Birthday, Festival, Wedding, Party for Home, Patio, Lawn, Restaurants Home Decoration (Warm White)",Amazon Launchpad,199.0,21211.0,4.1,2
"Fixderma Shadow Sunscreen SPF 30+ Gel Sunscreen For Oily Skin, Sun Screen Protector SPF 30 For Body & Face, Broad Spectrum For UVA & UVB Protection Non Greasy & Water Resistant For Unisex, 40g",Amazon Launchpad,186.0,4755.0,4.3,3
"Be Bodywise Biotin Hair Gummies for Stronger, Shinier Hair & Nails | 60 Day Pack | With High Potency Biotin, Zinc, Folic Acid & Multivitamins | Strawberry Flavored | No Added Sugar | 60 Gummies",Amazon Launchpad,908.0,6955.0,4.0,4
"SOFTSPUN Microfiber Cleaning Cloths, 4pcs 40x40cms 340GSM Multi-Colour! Highly Absorbent Lint and Streak Free Multi -Purpose Wash Cloth for Kitchen Car Window Stainless Steel Silverware.",Amazon Launchpad,247.0,22498.0,4.3,5
"Sirona Reusable Menstrual Cup for Women | Medium Size with Pouch | Ultra Soft, Odour & Rash Free|100% Medical Grade Silicone|No Leakage|Protection for Up to 8-10 Hours | US FDA Registered,Pack of 1",Amazon Launchpad,258.0,25593.0,4.3,6
INDIGENOUS HONEY Raw Organic Honey NMR Tested NPOP Organic Certified Pure Natural Unprocessed Original Honey - 530 g Glass Jar (Pack of 1),Amazon Launchpad,521.0,14211.0,4.3,7
"ALPINO Natural Peanut Butter Crunch 400g - 100% Roasted Peanuts - 30g Protein, No Added Sugar & Salt, non-GMO, Gluten Free, Vegan – Plant Based, Unsweetened Peanut Butter Crunchy",Amazon Launchpad,149.0,26043.0,4.2,8
"Frido Dual Gel Heavy Duty Trimmable Insoles, For Loose Shoes or Replacing Existing Insoles, Thick Shoe Inserts, Extra Comfort and Support, Proudly Made in India, (Size 9-13 UK) - Pack of 1 Pair",Amazon Launchpad,799.0,3410.0,3.8,9
"Man Matters Biotin Hair Gummies | 60 Days Pack | With Biotin, Vitamin A, C, E, Zinc & DHT Blocker | Added Sugar | Keeps Hair Healthy & Strong | Strawberry Flavored |100% Vegetarian | 60 Gummies",Amazon Launchpad,799.0,4169.0,3.8,10
Vooki Ecofriendly Hard Stains Spray and Wipe for Toughest House Hold Stains 500 Ml - (Pack of 2),Amazon Launchpad,565.0,2466.0,3.9,11
"Zlade Ballistic LITE Manscaping Body Trimmer for Men | Beard, Body, Pubic Hair Grooming | Private Part Shaving | Waterproof, AAA Battery Powered | Travel Lock - 3 Second Long Press to Start",Amazon Launchpad,,3822.0,4.2,12
SOFTSPUN Microfiber Cloth - 5pcs - 40x40cms - 340GSM Multi-Color - Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing,Amazon Launchpad,319.0,27685.0,4.3,13
"Desidiya® 5 Meter 300 Led 5050 Premium RGB Led Strip with Free Adapter/Connector/Driver for Diwali Home Decoration, False Ceiling with 2A Adapter,16 Multicolour (RGB Led Strip Pack of 1)",Amazon Launchpad,649.0,7107.0,4.0,14
"Sirona Sanitary Disposal Bags | 45 Bags | Pad Disposable Bags for Discreet Disposal of Tampons, Condoms, Diaper, Sanitary Pads, Panty Liner & Personal Hygiene Waste (Green)",Amazon Launchpad,149.0,2528.0,4.3,15
"ASGARD Nonwoven Fabric Disposable Multilayer Protective Mask (Black, Pack of 50) for Unisex",Amazon Launchpad,199.0,8634.0,4.3,16
"Sirona Disposable Underarm Sweat Pads for Men and Women, 24 Pads (Pack of 1) | Peel-off | Prevents Stains, Absorbs Sweat & Unpleasant Odour",Amazon Launchpad,199.0,6019.0,4.0,17
"Sirona Reusable Face Razor for Women Facial Hair- 3 Razors | Painless Facial Hair Removal | Eyebrow Shaper | For Eyebrows, Upper Lip, Forehead, Peach Fuzz, Chin and Sideburns | Dermaplaning Tool",Amazon Launchpad,195.0,4884.0,4.2,18
"SOFTSPUN Microfiber Basic Cleaning Cloths, 8 pcs 40x40cms 280GSM Multicolor! Highly Absorbent Lint and Streak Free Multipurpose Wash Cloth for Kitchen Car Window Stainless Steel Silverware.",Amazon Launchpad,337.0,8140.0,4.3,19
"What's Up Wellness Biotin Beauty Skin & Hair Gummies,for Hair Growth, Bright Skin & Strong Nails, Vitamin A to E, Folic Acid, Zinc, Aloe Vera etc, for Men & Women, 30 Days Pack (30 Gummies)",Amazon Launchpad,699.0,1753.0,3.9,20
"Vooki Ecofriendly Tough Lime Scale Hard Water Stain Remover, Spray and Scrub Cleaner for Bathroom,Taps, Faucet, Basins, Showers & Floor Tiles Cleaner- 500 ml (Pack of 2)",Amazon Launchpad,568.0,2318.0,3.8,21
